series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, cluster,phi,3,2.99911e-05,1.45449e-05,0.00686055,1.02848e-05
0,no corr, cluster,phi,5,0.000110949,1.63611e-05,0.00715302,1.1569e-05
0,no corr, cluster,phi,7,0.000244459,1.86239e-05,0.00658653,1.31691e-05
0,no corr, cluster,phi,9,0.000273436,1.78746e-05,0.00568213,1.26392e-05
0,no corr, cluster,phi,11,0.000260669,1.60295e-05,0.00498901,1.13346e-05
0,no corr, cluster,phi,13.5,0.000229326,1.14883e-05,0.00453461,8.12346e-06
0,no corr, cluster,phi,17.5,0.000138415,7.58369e-06,0.00414756,5.36248e-06
0,no corr, cluster,phi,25,-8.35479e-05,4.36569e-06,0.00370489,3.08701e-06
1,CorrectPosition, cluster,phi,3,2.26242e-05,1.46442e-05,0.00690741,1.0355e-05
1,CorrectPosition, cluster,phi,5,0.000194269,1.66134e-05,0.00726334,1.17474e-05
1,CorrectPosition, cluster,phi,7,0.000392202,1.81367e-05,0.00641424,1.28246e-05
1,CorrectPosition, cluster,phi,9,0.000307072,1.67385e-05,0.00532096,1.18359e-05
1,CorrectPosition, cluster,phi,11,0.000223217,1.4934e-05,0.00464805,1.05599e-05
1,CorrectPosition, cluster,phi,13.5,0.000164499,1.08408e-05,0.00427904,7.66562e-06
1,CorrectPosition, cluster,phi,17.5,8.77033e-05,7.12763e-06,0.00389814,5.03999e-06
1,CorrectPosition, cluster,phi,25,-0.000144185,3.89744e-06,0.00330751,2.75591e-06
2,no corr, cluster,eta,3,-3.14582e-05,3.31373e-05,0.0156253,2.34316e-05
2,no corr, cluster,eta,5,9.95647e-06,2.809e-05,0.0122806,1.98626e-05
2,no corr, cluster,eta,7,-8.25098e-06,2.68598e-05,0.00949925,1.89927e-05
2,no corr, cluster,eta,9,1.00195e-05,2.36151e-05,0.00750697,1.66984e-05
2,no corr, cluster,eta,11,-5.02426e-05,1.9883e-05,0.00618836,1.40594e-05
2,no corr, cluster,eta,13.5,-2.9018e-05,1.32501e-05,0.00523,9.36922e-06
2,no corr, cluster,eta,17.5,-1.67684e-05,8.22888e-06,0.00450041,5.8187e-06
2,no corr, cluster,eta,25,-5.4111e-06,4.75397e-06,0.0040344,3.36156e-06
3,CorrectPosition, cluster,eta,3,-3.35389e-05,3.21602e-05,0.015169,2.27407e-05
3,CorrectPosition, cluster,eta,5,1.45912e-05,2.68804e-05,0.011752,1.90073e-05
3,CorrectPosition, cluster,eta,7,-7.91519e-06,2.54424e-05,0.00899797,1.79905e-05
3,CorrectPosition, cluster,eta,9,9.307e-06,2.22987e-05,0.00708851,1.57676e-05
3,CorrectPosition, cluster,eta,11,-3.96614e-05,1.88339e-05,0.00586186,1.33176e-05
3,CorrectPosition, cluster,eta,13.5,-2.96919e-05,1.25817e-05,0.00496619,8.89661e-06
3,CorrectPosition, cluster,eta,17.5,-1.70225e-05,7.70207e-06,0.0042123,5.44619e-06
3,CorrectPosition, cluster,eta,25,-7.70495e-06,4.21285e-06,0.00357519,2.97894e-06
