series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, scratch,eta,3,-3.14582e-05,3.31373e-05,0.0156253,2.34316e-05
0,no corr, scratch,eta,5,9.95647e-06,2.809e-05,0.0122806,1.98626e-05
0,no corr, scratch,eta,7,-8.25098e-06,2.68598e-05,0.00949925,1.89927e-05
0,no corr, scratch,eta,9,1.00195e-05,2.36151e-05,0.00750697,1.66984e-05
0,no corr, scratch,eta,11,-5.02426e-05,1.9883e-05,0.00618836,1.40594e-05
0,no corr, scratch,eta,13.5,-2.9018e-05,1.32501e-05,0.00523,9.36922e-06
0,no corr, scratch,eta,17.5,-1.67684e-05,8.22888e-06,0.00450041,5.8187e-06
0,no corr, scratch,eta,25,-5.4111e-06,4.75397e-06,0.0040344,3.36156e-06
1,b(E) corr, scratch,eta,3,-3.35389e-05,3.21602e-05,0.015169,2.27407e-05
1,b(E) corr, scratch,eta,5,1.45912e-05,2.68804e-05,0.011752,1.90073e-05
1,b(E) corr, scratch,eta,7,-7.91519e-06,2.54424e-05,0.00899797,1.79905e-05
1,b(E) corr, scratch,eta,9,9.307e-06,2.22987e-05,0.00708851,1.57676e-05
1,b(E) corr, scratch,eta,11,-3.96614e-05,1.88339e-05,0.00586186,1.33176e-05
1,b(E) corr, scratch,eta,13.5,-2.96919e-05,1.25817e-05,0.00496619,8.89661e-06
1,b(E) corr, scratch,eta,17.5,-1.70225e-05,7.70207e-06,0.0042123,5.44619e-06
1,b(E) corr, scratch,eta,25,-7.70495e-06,4.21285e-06,0.00357519,2.97894e-06
