series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, scratch,phi,3,2.99911e-05,1.45449e-05,0.00686055,1.02848e-05
0,no corr, scratch,phi,5,0.000110949,1.63611e-05,0.00715302,1.1569e-05
0,no corr, scratch,phi,7,0.000244459,1.86239e-05,0.00658653,1.31691e-05
0,no corr, scratch,phi,9,0.000273436,1.78746e-05,0.00568213,1.26392e-05
0,no corr, scratch,phi,11,0.000260669,1.60295e-05,0.00498901,1.13346e-05
0,no corr, scratch,phi,13.5,0.000229326,1.14883e-05,0.00453461,8.12346e-06
0,no corr, scratch,phi,17.5,0.000138415,7.58369e-06,0.00414756,5.36248e-06
0,no corr, scratch,phi,25,-8.35479e-05,4.36569e-06,0.00370489,3.08701e-06
1,b(E) corr, scratch,phi,3,2.26242e-05,1.46442e-05,0.00690741,1.0355e-05
1,b(E) corr, scratch,phi,5,0.000194269,1.66134e-05,0.00726334,1.17474e-05
1,b(E) corr, scratch,phi,7,0.000392202,1.81367e-05,0.00641424,1.28246e-05
1,b(E) corr, scratch,phi,9,0.000307072,1.67385e-05,0.00532096,1.18359e-05
1,b(E) corr, scratch,phi,11,0.000223217,1.4934e-05,0.00464805,1.05599e-05
1,b(E) corr, scratch,phi,13.5,0.000164499,1.08408e-05,0.00427904,7.66562e-06
1,b(E) corr, scratch,phi,17.5,8.77033e-05,7.12763e-06,0.00389814,5.03999e-06
1,b(E) corr, scratch,phi,25,-0.000144185,3.89744e-06,0.00330751,2.75591e-06
