view,variant,Elo,Ehi,entries
originalEta,No Correction,2,4,236780
originalEta,No Correction,4,6,133814
originalEta,No Correction,6,8,49086
originalEta,No Correction,8,10,18458
originalEta,No Correction,10,12,8010
originalEta,No Correction,12,15,5452
originalEta,No Correction,15,20,3870
originalEta,No Correction,20,30,2380
originalEta,Legacy Constant b-corr,2,4,236780
originalEta,Legacy Constant b-corr,4,6,133814
originalEta,Legacy Constant b-corr,6,8,49086
originalEta,Legacy Constant b-corr,8,10,18458
originalEta,Legacy Constant b-corr,10,12,8010
originalEta,Legacy Constant b-corr,12,15,5452
originalEta,Legacy Constant b-corr,15,20,3870
originalEta,Legacy Constant b-corr,20,30,2380
originalEta,Energy/|z_{vtx}|-Dep b-correction,2,4,236780
originalEta,Energy/|z_{vtx}|-Dep b-correction,4,6,133814
originalEta,Energy/|z_{vtx}|-Dep b-correction,6,8,49086
originalEta,Energy/|z_{vtx}|-Dep b-correction,8,10,18458
originalEta,Energy/|z_{vtx}|-Dep b-correction,10,12,8010
originalEta,Energy/|z_{vtx}|-Dep b-correction,12,15,5452
originalEta,Energy/|z_{vtx}|-Dep b-correction,15,20,3870
originalEta,Energy/|z_{vtx}|-Dep b-correction,20,30,2380
originalEta,Energy/|#eta|-Dep b-correction,2,4,236780
originalEta,Energy/|#eta|-Dep b-correction,4,6,133814
originalEta,Energy/|#eta|-Dep b-correction,6,8,49086
originalEta,Energy/|#eta|-Dep b-correction,8,10,18458
originalEta,Energy/|#eta|-Dep b-correction,10,12,8010
originalEta,Energy/|#eta|-Dep b-correction,12,15,5452
originalEta,Energy/|#eta|-Dep b-correction,15,20,3870
originalEta,Energy/|#eta|-Dep b-correction,20,30,2380
originalEta,Energy-Dep b-correction,2,4,236780
originalEta,Energy-Dep b-correction,4,6,133814
originalEta,Energy-Dep b-correction,6,8,49086
originalEta,Energy-Dep b-correction,8,10,18458
originalEta,Energy-Dep b-correction,10,12,8010
originalEta,Energy-Dep b-correction,12,15,5452
originalEta,Energy-Dep b-correction,15,20,3870
originalEta,Energy-Dep b-correction,20,30,2380
originalEta,EA-mix,2,4,236780
originalEta,EA-mix,4,6,133814
originalEta,EA-mix,6,8,49086
originalEta,EA-mix,8,10,18458
originalEta,EA-mix,10,12,8010
originalEta,EA-mix,12,15,5452
originalEta,EA-mix,15,20,3870
originalEta,EA-mix,20,30,2380
originalEta,PDC-raw,2,4,236780
originalEta,PDC-raw,4,6,133814
originalEta,PDC-raw,6,8,49086
originalEta,PDC-raw,8,10,18458
originalEta,PDC-raw,10,12,8010
originalEta,PDC-raw,12,15,5452
originalEta,PDC-raw,15,20,3870
originalEta,PDC-raw,20,30,2380
originalEta,PDC-corr,2,4,236780
originalEta,PDC-corr,4,6,133814
originalEta,PDC-corr,6,8,49086
originalEta,PDC-corr,8,10,18458
originalEta,PDC-corr,10,12,8010
originalEta,PDC-corr,12,15,5452
originalEta,PDC-corr,15,20,3870
originalEta,PDC-corr,20,30,2380
fullEta,No Correction,2,4,228466
fullEta,No Correction,4,6,124716
fullEta,No Correction,6,8,41075
fullEta,No Correction,8,10,13216
fullEta,No Correction,10,12,4949
fullEta,No Correction,12,15,3341
fullEta,No Correction,15,20,2638
fullEta,No Correction,20,30,1887
fullEta,Legacy Constant b-corr,2,4,228466
fullEta,Legacy Constant b-corr,4,6,124716
fullEta,Legacy Constant b-corr,6,8,41075
fullEta,Legacy Constant b-corr,8,10,13216
fullEta,Legacy Constant b-corr,10,12,4949
fullEta,Legacy Constant b-corr,12,15,3341
fullEta,Legacy Constant b-corr,15,20,2638
fullEta,Legacy Constant b-corr,20,30,1887
fullEta,Energy/|z_{vtx}|-Dep b-correction,2,4,228466
fullEta,Energy/|z_{vtx}|-Dep b-correction,4,6,124716
fullEta,Energy/|z_{vtx}|-Dep b-correction,6,8,41075
fullEta,Energy/|z_{vtx}|-Dep b-correction,8,10,13216
fullEta,Energy/|z_{vtx}|-Dep b-correction,10,12,4949
fullEta,Energy/|z_{vtx}|-Dep b-correction,12,15,3341
fullEta,Energy/|z_{vtx}|-Dep b-correction,15,20,2638
fullEta,Energy/|z_{vtx}|-Dep b-correction,20,30,1887
fullEta,Energy/|#eta|-Dep b-correction,2,4,228466
fullEta,Energy/|#eta|-Dep b-correction,4,6,124716
fullEta,Energy/|#eta|-Dep b-correction,6,8,41075
fullEta,Energy/|#eta|-Dep b-correction,8,10,13216
fullEta,Energy/|#eta|-Dep b-correction,10,12,4949
fullEta,Energy/|#eta|-Dep b-correction,12,15,3341
fullEta,Energy/|#eta|-Dep b-correction,15,20,2638
fullEta,Energy/|#eta|-Dep b-correction,20,30,1887
fullEta,Energy-Dep b-correction,2,4,228466
fullEta,Energy-Dep b-correction,4,6,124716
fullEta,Energy-Dep b-correction,6,8,41075
fullEta,Energy-Dep b-correction,8,10,13216
fullEta,Energy-Dep b-correction,10,12,4949
fullEta,Energy-Dep b-correction,12,15,3341
fullEta,Energy-Dep b-correction,15,20,2638
fullEta,Energy-Dep b-correction,20,30,1887
fullEta,EA-mix,2,4,228466
fullEta,EA-mix,4,6,124716
fullEta,EA-mix,6,8,41075
fullEta,EA-mix,8,10,13216
fullEta,EA-mix,10,12,4949
fullEta,EA-mix,12,15,3341
fullEta,EA-mix,15,20,2638
fullEta,EA-mix,20,30,1887
fullEta,PDC-raw,2,4,228466
fullEta,PDC-raw,4,6,124716
fullEta,PDC-raw,6,8,41075
fullEta,PDC-raw,8,10,13216
fullEta,PDC-raw,10,12,4949
fullEta,PDC-raw,12,15,3341
fullEta,PDC-raw,15,20,2638
fullEta,PDC-raw,20,30,1887
fullEta,PDC-corr,2,4,228466
fullEta,PDC-corr,4,6,124716
fullEta,PDC-corr,6,8,41075
fullEta,PDC-corr,8,10,13216
fullEta,PDC-corr,10,12,4949
fullEta,PDC-corr,12,15,3341
fullEta,PDC-corr,15,20,2638
fullEta,PDC-corr,20,30,1887
etaCore,No Correction,2,4,57376
etaCore,No Correction,4,6,21901
etaCore,No Correction,6,8,3608
etaCore,No Correction,8,10,820
etaCore,No Correction,10,12,411
etaCore,No Correction,12,15,458
etaCore,No Correction,15,20,396
etaCore,No Correction,20,30,228
etaCore,Legacy Constant b-corr,2,4,57376
etaCore,Legacy Constant b-corr,4,6,21901
etaCore,Legacy Constant b-corr,6,8,3608
etaCore,Legacy Constant b-corr,8,10,820
etaCore,Legacy Constant b-corr,10,12,411
etaCore,Legacy Constant b-corr,12,15,458
etaCore,Legacy Constant b-corr,15,20,396
etaCore,Legacy Constant b-corr,20,30,228
etaCore,Energy/|z_{vtx}|-Dep b-correction,2,4,57376
etaCore,Energy/|z_{vtx}|-Dep b-correction,4,6,21901
etaCore,Energy/|z_{vtx}|-Dep b-correction,6,8,3608
etaCore,Energy/|z_{vtx}|-Dep b-correction,8,10,820
etaCore,Energy/|z_{vtx}|-Dep b-correction,10,12,411
etaCore,Energy/|z_{vtx}|-Dep b-correction,12,15,458
etaCore,Energy/|z_{vtx}|-Dep b-correction,15,20,396
etaCore,Energy/|z_{vtx}|-Dep b-correction,20,30,228
etaCore,Energy/|#eta|-Dep b-correction,2,4,57376
etaCore,Energy/|#eta|-Dep b-correction,4,6,21901
etaCore,Energy/|#eta|-Dep b-correction,6,8,3608
etaCore,Energy/|#eta|-Dep b-correction,8,10,820
etaCore,Energy/|#eta|-Dep b-correction,10,12,411
etaCore,Energy/|#eta|-Dep b-correction,12,15,458
etaCore,Energy/|#eta|-Dep b-correction,15,20,396
etaCore,Energy/|#eta|-Dep b-correction,20,30,228
etaCore,Energy-Dep b-correction,2,4,57376
etaCore,Energy-Dep b-correction,4,6,21901
etaCore,Energy-Dep b-correction,6,8,3608
etaCore,Energy-Dep b-correction,8,10,820
etaCore,Energy-Dep b-correction,10,12,411
etaCore,Energy-Dep b-correction,12,15,458
etaCore,Energy-Dep b-correction,15,20,396
etaCore,Energy-Dep b-correction,20,30,228
etaCore,EA-mix,2,4,57376
etaCore,EA-mix,4,6,21901
etaCore,EA-mix,6,8,3608
etaCore,EA-mix,8,10,820
etaCore,EA-mix,10,12,411
etaCore,EA-mix,12,15,458
etaCore,EA-mix,15,20,396
etaCore,EA-mix,20,30,228
etaCore,PDC-raw,2,4,57376
etaCore,PDC-raw,4,6,21901
etaCore,PDC-raw,6,8,3608
etaCore,PDC-raw,8,10,820
etaCore,PDC-raw,10,12,411
etaCore,PDC-raw,12,15,458
etaCore,PDC-raw,15,20,396
etaCore,PDC-raw,20,30,228
etaCore,PDC-corr,2,4,57376
etaCore,PDC-corr,4,6,21901
etaCore,PDC-corr,6,8,3608
etaCore,PDC-corr,8,10,820
etaCore,PDC-corr,10,12,411
etaCore,PDC-corr,12,15,458
etaCore,PDC-corr,15,20,396
etaCore,PDC-corr,20,30,228
etaMid,No Correction,2,4,120049
etaMid,No Correction,4,6,59524
etaMid,No Correction,6,8,14717
etaMid,No Correction,8,10,3258
etaMid,No Correction,10,12,1301
etaMid,No Correction,12,15,1135
etaMid,No Correction,15,20,1098
etaMid,No Correction,20,30,705
etaMid,Legacy Constant b-corr,2,4,120049
etaMid,Legacy Constant b-corr,4,6,59524
etaMid,Legacy Constant b-corr,6,8,14717
etaMid,Legacy Constant b-corr,8,10,3258
etaMid,Legacy Constant b-corr,10,12,1301
etaMid,Legacy Constant b-corr,12,15,1135
etaMid,Legacy Constant b-corr,15,20,1098
etaMid,Legacy Constant b-corr,20,30,705
etaMid,Energy/|z_{vtx}|-Dep b-correction,2,4,120049
etaMid,Energy/|z_{vtx}|-Dep b-correction,4,6,59524
etaMid,Energy/|z_{vtx}|-Dep b-correction,6,8,14717
etaMid,Energy/|z_{vtx}|-Dep b-correction,8,10,3258
etaMid,Energy/|z_{vtx}|-Dep b-correction,10,12,1301
etaMid,Energy/|z_{vtx}|-Dep b-correction,12,15,1135
etaMid,Energy/|z_{vtx}|-Dep b-correction,15,20,1098
etaMid,Energy/|z_{vtx}|-Dep b-correction,20,30,705
etaMid,Energy/|#eta|-Dep b-correction,2,4,120049
etaMid,Energy/|#eta|-Dep b-correction,4,6,59524
etaMid,Energy/|#eta|-Dep b-correction,6,8,14717
etaMid,Energy/|#eta|-Dep b-correction,8,10,3258
etaMid,Energy/|#eta|-Dep b-correction,10,12,1301
etaMid,Energy/|#eta|-Dep b-correction,12,15,1135
etaMid,Energy/|#eta|-Dep b-correction,15,20,1098
etaMid,Energy/|#eta|-Dep b-correction,20,30,705
etaMid,Energy-Dep b-correction,2,4,120049
etaMid,Energy-Dep b-correction,4,6,59524
etaMid,Energy-Dep b-correction,6,8,14717
etaMid,Energy-Dep b-correction,8,10,3258
etaMid,Energy-Dep b-correction,10,12,1301
etaMid,Energy-Dep b-correction,12,15,1135
etaMid,Energy-Dep b-correction,15,20,1098
etaMid,Energy-Dep b-correction,20,30,705
etaMid,EA-mix,2,4,120049
etaMid,EA-mix,4,6,59524
etaMid,EA-mix,6,8,14717
etaMid,EA-mix,8,10,3258
etaMid,EA-mix,10,12,1301
etaMid,EA-mix,12,15,1135
etaMid,EA-mix,15,20,1098
etaMid,EA-mix,20,30,705
etaMid,PDC-raw,2,4,120049
etaMid,PDC-raw,4,6,59524
etaMid,PDC-raw,6,8,14717
etaMid,PDC-raw,8,10,3258
etaMid,PDC-raw,10,12,1301
etaMid,PDC-raw,12,15,1135
etaMid,PDC-raw,15,20,1098
etaMid,PDC-raw,20,30,705
etaMid,PDC-corr,2,4,120049
etaMid,PDC-corr,4,6,59524
etaMid,PDC-corr,6,8,14717
etaMid,PDC-corr,8,10,3258
etaMid,PDC-corr,10,12,1301
etaMid,PDC-corr,12,15,1135
etaMid,PDC-corr,15,20,1098
etaMid,PDC-corr,20,30,705
etaEdge,No Correction,2,4,51041
etaEdge,No Correction,4,6,43291
etaEdge,No Correction,6,8,22750
etaEdge,No Correction,8,10,9138
etaEdge,No Correction,10,12,3237
etaEdge,No Correction,12,15,1748
etaEdge,No Correction,15,20,1144
etaEdge,No Correction,20,30,954
etaEdge,Legacy Constant b-corr,2,4,51041
etaEdge,Legacy Constant b-corr,4,6,43291
etaEdge,Legacy Constant b-corr,6,8,22750
etaEdge,Legacy Constant b-corr,8,10,9138
etaEdge,Legacy Constant b-corr,10,12,3237
etaEdge,Legacy Constant b-corr,12,15,1748
etaEdge,Legacy Constant b-corr,15,20,1144
etaEdge,Legacy Constant b-corr,20,30,954
etaEdge,Energy/|z_{vtx}|-Dep b-correction,2,4,51041
etaEdge,Energy/|z_{vtx}|-Dep b-correction,4,6,43291
etaEdge,Energy/|z_{vtx}|-Dep b-correction,6,8,22750
etaEdge,Energy/|z_{vtx}|-Dep b-correction,8,10,9138
etaEdge,Energy/|z_{vtx}|-Dep b-correction,10,12,3237
etaEdge,Energy/|z_{vtx}|-Dep b-correction,12,15,1748
etaEdge,Energy/|z_{vtx}|-Dep b-correction,15,20,1144
etaEdge,Energy/|z_{vtx}|-Dep b-correction,20,30,954
etaEdge,Energy/|#eta|-Dep b-correction,2,4,51041
etaEdge,Energy/|#eta|-Dep b-correction,4,6,43291
etaEdge,Energy/|#eta|-Dep b-correction,6,8,22750
etaEdge,Energy/|#eta|-Dep b-correction,8,10,9138
etaEdge,Energy/|#eta|-Dep b-correction,10,12,3237
etaEdge,Energy/|#eta|-Dep b-correction,12,15,1748
etaEdge,Energy/|#eta|-Dep b-correction,15,20,1144
etaEdge,Energy/|#eta|-Dep b-correction,20,30,954
etaEdge,Energy-Dep b-correction,2,4,51041
etaEdge,Energy-Dep b-correction,4,6,43291
etaEdge,Energy-Dep b-correction,6,8,22750
etaEdge,Energy-Dep b-correction,8,10,9138
etaEdge,Energy-Dep b-correction,10,12,3237
etaEdge,Energy-Dep b-correction,12,15,1748
etaEdge,Energy-Dep b-correction,15,20,1144
etaEdge,Energy-Dep b-correction,20,30,954
etaEdge,EA-mix,2,4,51041
etaEdge,EA-mix,4,6,43291
etaEdge,EA-mix,6,8,22750
etaEdge,EA-mix,8,10,9138
etaEdge,EA-mix,10,12,3237
etaEdge,EA-mix,12,15,1748
etaEdge,EA-mix,15,20,1144
etaEdge,EA-mix,20,30,954
etaEdge,PDC-raw,2,4,51041
etaEdge,PDC-raw,4,6,43291
etaEdge,PDC-raw,6,8,22750
etaEdge,PDC-raw,8,10,9138
etaEdge,PDC-raw,10,12,3237
etaEdge,PDC-raw,12,15,1748
etaEdge,PDC-raw,15,20,1144
etaEdge,PDC-raw,20,30,954
etaEdge,PDC-corr,2,4,51041
etaEdge,PDC-corr,4,6,43291
etaEdge,PDC-corr,6,8,22750
etaEdge,PDC-corr,8,10,9138
etaEdge,PDC-corr,10,12,3237
etaEdge,PDC-corr,12,15,1748
etaEdge,PDC-corr,15,20,1144
etaEdge,PDC-corr,20,30,954
