series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, cluster,phi,3,-0.00177068,1.8714e-05,0.0043489,1.32328e-05
0,no corr, cluster,phi,5,-0.00134113,1.77287e-05,0.00419043,1.25361e-05
0,no corr, cluster,phi,7,-0.00111572,1.68331e-05,0.00412665,1.19028e-05
0,no corr, cluster,phi,9,-0.000899477,1.68151e-05,0.00420004,1.18901e-05
0,no corr, cluster,phi,11,-0.000672888,1.7246e-05,0.00431897,1.21948e-05
0,no corr, cluster,phi,13.5,-0.000465743,1.44962e-05,0.00442982,1.02504e-05
0,no corr, cluster,phi,17.5,-0.000186711,1.1196e-05,0.00440932,7.91675e-06
0,no corr, cluster,phi,25,-3.04146e-05,7.29345e-06,0.00408079,5.15725e-06
1,CorrectPosition, cluster,phi,3,-0.00112497,1.66837e-05,0.00387709,1.17972e-05
1,CorrectPosition, cluster,phi,5,-0.000675968,1.44921e-05,0.00342542,1.02475e-05
1,CorrectPosition, cluster,phi,7,-0.000455141,1.32023e-05,0.00323656,9.33545e-06
1,CorrectPosition, cluster,phi,9,-0.000247183,1.33064e-05,0.00332365,9.40907e-06
1,CorrectPosition, cluster,phi,11,-5.59099e-05,1.38879e-05,0.00347799,9.82021e-06
1,CorrectPosition, cluster,phi,13.5,0.00016637,1.18735e-05,0.00362836,8.39584e-06
1,CorrectPosition, cluster,phi,17.5,0.000396991,8.93732e-06,0.00351979,6.31964e-06
1,CorrectPosition, cluster,phi,25,0.000597596,5.40007e-06,0.00302142,3.81843e-06
2,no corr, cluster,eta,3,2.29427e-05,1.8688e-05,0.00434286,1.32144e-05
2,no corr, cluster,eta,5,1.72729e-05,1.75135e-05,0.00413957,1.23839e-05
2,no corr, cluster,eta,7,-1.07905e-05,1.65242e-05,0.00405093,1.16844e-05
2,no corr, cluster,eta,9,-1.73027e-05,1.61333e-05,0.00402975,1.1408e-05
2,no corr, cluster,eta,11,-3.33323e-05,1.59309e-05,0.00398963,1.12648e-05
2,no corr, cluster,eta,13.5,3.18048e-06,1.29864e-05,0.00396845,9.18279e-06
2,no corr, cluster,eta,17.5,-9.10685e-06,9.97063e-06,0.00392674,7.0503e-06
2,no corr, cluster,eta,25,-2.49012e-05,6.77794e-06,0.00379236,4.79273e-06
3,CorrectPosition, cluster,eta,3,-9.7215e-06,1.83019e-05,0.00425314,1.29414e-05
3,CorrectPosition, cluster,eta,5,-4.11685e-07,1.61149e-05,0.00380898,1.1395e-05
3,CorrectPosition, cluster,eta,7,-2.38689e-05,1.46215e-05,0.00358449,1.0339e-05
3,CorrectPosition, cluster,eta,9,-3.59278e-05,1.40249e-05,0.00350312,9.91712e-06
3,CorrectPosition, cluster,eta,11,-2.04649e-05,1.36065e-05,0.00340753,9.62126e-06
3,CorrectPosition, cluster,eta,13.5,-2.05821e-05,1.10153e-05,0.00336611,7.789e-06
3,CorrectPosition, cluster,eta,17.5,-1.019e-05,8.38756e-06,0.00330328,5.9309e-06
3,CorrectPosition, cluster,eta,25,-2.34989e-05,5.5665e-06,0.00311454,3.93611e-06
