series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, cluster,eta,3,-0.000163158,0.000479522,0.0046738,0.000339073
0,no corr, cluster,eta,5,0.0008,0.000443457,0.004207,0.000313572
0,no corr, cluster,eta,7,-0.000166667,0.000386012,0.00401156,0.000272952
0,no corr, cluster,eta,9,-0.00062381,0.000403094,0.00413048,0.00028503
0,no corr, cluster,eta,11,0.000383495,0.000377344,0.00382963,0.000266823
0,no corr, cluster,eta,13.5,-0.000385906,0.000333217,0.00406744,0.00023562
0,no corr, cluster,eta,17.5,-0.000295181,0.00025446,0.00401531,0.00017993
0,no corr, cluster,eta,25,-0.00016075,0.00016324,0.00367562,0.000115428
1,CorrectPosition, cluster,eta,3,0.000184211,0.000532233,0.00518756,0.000376345
1,CorrectPosition, cluster,eta,5,0.000411111,0.000356819,0.00338508,0.000252309
1,CorrectPosition, cluster,eta,7,-0.000148148,0.000378457,0.00393304,0.000267609
1,CorrectPosition, cluster,eta,9,-0.000109524,0.000351349,0.00360025,0.000248441
1,CorrectPosition, cluster,eta,11,-0.000150485,0.000333424,0.00338388,0.000235766
1,CorrectPosition, cluster,eta,13.5,-8.38926e-05,0.000319917,0.00390508,0.000226215
1,CorrectPosition, cluster,eta,17.5,-6.62651e-05,0.000204273,0.00322338,0.000144443
1,CorrectPosition, cluster,eta,25,-0.000115385,0.000134412,0.00302651,9.50437e-05
