series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, cluster,phi,3,-0.00177068,1.8714e-05,0.0043489,1.32328e-05
0,no corr, cluster,phi,5,-0.00134113,1.77287e-05,0.00419043,1.25361e-05
0,no corr, cluster,phi,7,-0.00111572,1.68331e-05,0.00412665,1.19028e-05
0,no corr, cluster,phi,9,-0.000899477,1.68151e-05,0.00420004,1.18901e-05
0,no corr, cluster,phi,11,-0.000672888,1.7246e-05,0.00431897,1.21948e-05
0,no corr, cluster,phi,13.5,-0.000465743,1.44962e-05,0.00442982,1.02504e-05
0,no corr, cluster,phi,17.5,-0.000186711,1.1196e-05,0.00440932,7.91675e-06
0,no corr, cluster,phi,25,-3.04146e-05,7.29345e-06,0.00408079,5.15725e-06
1,CorrectPosition, cluster,phi,3,-0.00112497,1.66837e-05,0.00387709,1.17972e-05
1,CorrectPosition, cluster,phi,5,-0.000675968,1.44921e-05,0.00342542,1.02475e-05
1,CorrectPosition, cluster,phi,7,-0.000455141,1.32023e-05,0.00323656,9.33545e-06
1,CorrectPosition, cluster,phi,9,-0.000247183,1.33064e-05,0.00332365,9.40907e-06
1,CorrectPosition, cluster,phi,11,-5.59099e-05,1.38879e-05,0.00347799,9.82021e-06
1,CorrectPosition, cluster,phi,13.5,0.00016637,1.18735e-05,0.00362836,8.39584e-06
1,CorrectPosition, cluster,phi,17.5,0.000396991,8.93732e-06,0.00351979,6.31964e-06
1,CorrectPosition, cluster,phi,25,0.000597596,5.40007e-06,0.00302142,3.81843e-06
