series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, cluster,phi,3,-0.00144737,0.000479697,0.00467551,0.000339197
0,no corr, cluster,phi,5,-0.00142222,0.000469365,0.00445278,0.000331891
0,no corr, cluster,phi,7,-0.00075,0.000374771,0.00389474,0.000265003
0,no corr, cluster,phi,9,-0.0010619,0.000413145,0.00423348,0.000292138
0,no corr, cluster,phi,11,-0.000616505,0.00038403,0.00389747,0.00027155
0,no corr, cluster,phi,13.5,-0.000177852,0.000362201,0.00442122,0.000256115
0,no corr, cluster,phi,17.5,1.80723e-05,0.000267609,0.0042228,0.000189228
0,no corr, cluster,phi,25,-0.000348126,0.00017401,0.00391812,0.000123044
1,CorrectPosition, cluster,phi,3,-0.000910526,0.000415888,0.00405357,0.000294077
1,CorrectPosition, cluster,phi,5,-0.00102222,0.000333047,0.00315956,0.0002355
1,CorrectPosition, cluster,phi,7,0.000111111,0.000321507,0.00334119,0.000227339
1,CorrectPosition, cluster,phi,9,-0.000680952,0.000337197,0.00345524,0.000238434
1,CorrectPosition, cluster,phi,11,-0.00018932,0.000302386,0.00306888,0.000213819
1,CorrectPosition, cluster,phi,13.5,0.00054698,0.000287313,0.00350711,0.000203161
1,CorrectPosition, cluster,phi,17.5,0.000443775,0.000227651,0.00359228,0.000160974
1,CorrectPosition, cluster,phi,25,0.000655819,0.000125347,0.00282239,8.86334e-05
2,CorrectPosition(EA), cluster,phi,3,-0.000910526,0.000415888,0.00405357,0.000294077
2,CorrectPosition(EA), cluster,phi,5,-0.00103333,0.000331551,0.00314537,0.000234442
2,CorrectPosition(EA), cluster,phi,7,0.000111111,0.000321507,0.00334119,0.000227339
2,CorrectPosition(EA), cluster,phi,9,-0.000680952,0.000337197,0.00345524,0.000238434
2,CorrectPosition(EA), cluster,phi,11,-0.000199029,0.000302014,0.0030651,0.000213556
2,CorrectPosition(EA), cluster,phi,13.5,0.00054698,0.000287783,0.00351284,0.000203494
2,CorrectPosition(EA), cluster,phi,17.5,0.000435743,0.000227855,0.0035955,0.000161118
2,CorrectPosition(EA), cluster,phi,25,0.0005,0.000129278,0.00291091,9.14133e-05
