series,variant,residual,E,mu,dmu,sigma,dsigma
0,Constant-b (Production) Uncorr,phi,3,-0.00144737,0.000479697,0.00467551,0.000339197
0,Constant-b (Production) Uncorr,phi,5,-0.00142222,0.000469365,0.00445278,0.000331891
0,Constant-b (Production) Uncorr,phi,7,-0.00075,0.000374771,0.00389474,0.000265003
0,Constant-b (Production) Uncorr,phi,9,-0.0010619,0.000413145,0.00423348,0.000292138
0,Constant-b (Production) Uncorr,phi,11,-0.000616505,0.00038403,0.00389747,0.00027155
0,Constant-b (Production) Uncorr,phi,13.5,-0.000177852,0.000362201,0.00442122,0.000256115
0,Constant-b (Production) Uncorr,phi,17.5,1.80723e-05,0.000267609,0.0042228,0.000189228
0,Constant-b (Production) Uncorr,phi,25,-0.000348126,0.00017401,0.00391812,0.000123044
1,Constant-b (Production) Corr,phi,3,-0.000910526,0.000415888,0.00405357,0.000294077
1,Constant-b (Production) Corr,phi,5,-0.00102222,0.000333047,0.00315956,0.0002355
1,Constant-b (Production) Corr,phi,7,0.000111111,0.000321507,0.00334119,0.000227339
1,Constant-b (Production) Corr,phi,9,-0.000680952,0.000337197,0.00345524,0.000238434
1,Constant-b (Production) Corr,phi,11,-0.00018932,0.000302386,0.00306888,0.000213819
1,Constant-b (Production) Corr,phi,13.5,0.00054698,0.000287313,0.00350711,0.000203161
1,Constant-b (Production) Corr,phi,17.5,0.000443775,0.000227651,0.00359228,0.000160974
1,Constant-b (Production) Corr,phi,25,0.000655819,0.000125347,0.00282239,8.86334e-05
2,Variable-b (Benchmark) Uncorr,phi,3,0.000247368,0.000439332,0.00428208,0.000310654
2,Variable-b (Benchmark) Uncorr,phi,5,0.000111111,0.00044241,0.00419707,0.000312831
2,Variable-b (Benchmark) Uncorr,phi,7,0.00037963,0.000380581,0.00395511,0.000269111
2,Variable-b (Benchmark) Uncorr,phi,9,0.000271429,0.000415626,0.0042589,0.000293892
2,Variable-b (Benchmark) Uncorr,phi,11,0.000791262,0.000375674,0.00381268,0.000265642
2,Variable-b (Benchmark) Uncorr,phi,13.5,0.000942953,0.000349816,0.00427005,0.000247357
2,Variable-b (Benchmark) Uncorr,phi,17.5,0.00131124,0.000255837,0.00403704,0.000180904
2,Variable-b (Benchmark) Uncorr,phi,25,0.00101677,0.000168135,0.00378584,0.000118889
3,Variable-b (Benchmark) Corr,phi,3,2.63158e-05,0.000405186,0.00394926,0.00028651
3,Variable-b (Benchmark) Corr,phi,5,0.0006,0.000334461,0.00317298,0.0002365
3,Variable-b (Benchmark) Corr,phi,7,0.00115741,0.000325569,0.00338341,0.000230212
3,Variable-b (Benchmark) Corr,phi,9,0.000785714,0.000347251,0.00355826,0.000245543
3,Variable-b (Benchmark) Corr,phi,11,0.00126699,0.000303685,0.00308206,0.000214737
3,Variable-b (Benchmark) Corr,phi,13.5,0.0011443,0.000285227,0.00348164,0.000201686
3,Variable-b (Benchmark) Corr,phi,17.5,0.0016004,0.000220719,0.00348288,0.000156072
3,Variable-b (Benchmark) Corr,phi,25,0.00190237,0.000128158,0.0028857,9.06216e-05
