series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, scratch,phi,3,0.000247368,0.000439332,0.00428208,0.000310654
0,no corr, scratch,phi,5,0.000111111,0.00044241,0.00419707,0.000312831
0,no corr, scratch,phi,7,0.00037963,0.000380581,0.00395511,0.000269111
0,no corr, scratch,phi,9,0.000271429,0.000415626,0.0042589,0.000293892
0,no corr, scratch,phi,11,0.000791262,0.000375674,0.00381268,0.000265642
0,no corr, scratch,phi,13.5,0.000942953,0.000349816,0.00427005,0.000247357
0,no corr, scratch,phi,17.5,0.00131124,0.000255837,0.00403704,0.000180904
0,no corr, scratch,phi,25,0.00101677,0.000168135,0.00378584,0.000118889
1,no corr, cluster,phi,3,-0.00144737,0.000479697,0.00467551,0.000339197
1,no corr, cluster,phi,5,-0.00142222,0.000469365,0.00445278,0.000331891
1,no corr, cluster,phi,7,-0.00075,0.000374771,0.00389474,0.000265003
1,no corr, cluster,phi,9,-0.0010619,0.000413145,0.00423348,0.000292138
1,no corr, cluster,phi,11,-0.000616505,0.00038403,0.00389747,0.00027155
1,no corr, cluster,phi,13.5,-0.000177852,0.000362201,0.00442122,0.000256115
1,no corr, cluster,phi,17.5,1.80723e-05,0.000267609,0.0042228,0.000189228
1,no corr, cluster,phi,25,-0.000348126,0.00017401,0.00391812,0.000123044
2,no corr, scratch,eta,3,-0.000142105,0.000464094,0.00452343,0.000328164
2,no corr, scratch,eta,5,0.000977778,0.000437509,0.00415058,0.000309366
2,no corr, scratch,eta,7,5.55556e-05,0.000395953,0.00411486,0.000279981
2,no corr, scratch,eta,9,-0.000614286,0.000394363,0.00404101,0.000278856
2,no corr, scratch,eta,11,0.00034466,0.000378705,0.00384343,0.000267785
2,no corr, scratch,eta,13.5,-0.00040604,0.000347874,0.00424634,0.000245984
2,no corr, scratch,eta,17.5,-0.000218876,0.000245615,0.00387574,0.000173676
2,no corr, scratch,eta,25,-0.000154832,0.000155938,0.00351121,0.000110265
3,no corr, cluster,eta,3,-0.000163158,0.000479522,0.0046738,0.000339073
3,no corr, cluster,eta,5,0.0008,0.000443457,0.004207,0.000313572
3,no corr, cluster,eta,7,-0.000166667,0.000386012,0.00401156,0.000272952
3,no corr, cluster,eta,9,-0.00062381,0.000403094,0.00413048,0.00028503
3,no corr, cluster,eta,11,0.000383495,0.000377344,0.00382963,0.000266823
3,no corr, cluster,eta,13.5,-0.000385906,0.000333217,0.00406744,0.00023562
3,no corr, cluster,eta,17.5,-0.000295181,0.00025446,0.00401531,0.00017993
3,no corr, cluster,eta,25,-0.00016075,0.00016324,0.00367562,0.000115428
