series,variant,residual,E,mu,dmu,sigma,dsigma
0,from scratch,eta,3,-0.000142105,0.000464094,0.00452343,0.000328164
0,from scratch,eta,5,0.000977778,0.000437509,0.00415058,0.000309366
0,from scratch,eta,7,5.55556e-05,0.000395953,0.00411486,0.000279981
0,from scratch,eta,9,-0.000614286,0.000394363,0.00404101,0.000278856
0,from scratch,eta,11,0.00034466,0.000378705,0.00384343,0.000267785
0,from scratch,eta,13.5,-0.00040604,0.000347874,0.00424634,0.000245984
0,from scratch,eta,17.5,-0.000218876,0.000245615,0.00387574,0.000173676
0,from scratch,eta,25,-0.000154832,0.000155938,0.00351121,0.000110265
1,clusterizer,eta,3,-0.000163158,0.000479522,0.0046738,0.000339073
1,clusterizer,eta,5,0.0008,0.000443457,0.004207,0.000313572
1,clusterizer,eta,7,-0.000166667,0.000386012,0.00401156,0.000272952
1,clusterizer,eta,9,-0.00062381,0.000403094,0.00413048,0.00028503
1,clusterizer,eta,11,0.000383495,0.000377344,0.00382963,0.000266823
1,clusterizer,eta,13.5,-0.000385906,0.000333217,0.00406744,0.00023562
1,clusterizer,eta,17.5,-0.000295181,0.00025446,0.00401531,0.00017993
1,clusterizer,eta,25,-0.00016075,0.00016324,0.00367562,0.000115428
