series,variant,residual,E,mu,dmu,sigma,dsigma
0,from scratch,phi,3,0.000247368,0.000439332,0.00428208,0.000310654
0,from scratch,phi,5,0.000111111,0.00044241,0.00419707,0.000312831
0,from scratch,phi,7,0.00037963,0.000380581,0.00395511,0.000269111
0,from scratch,phi,9,0.000271429,0.000415626,0.0042589,0.000293892
0,from scratch,phi,11,0.000791262,0.000375674,0.00381268,0.000265642
0,from scratch,phi,13.5,0.000942953,0.000349816,0.00427005,0.000247357
0,from scratch,phi,17.5,0.00131124,0.000255837,0.00403704,0.000180904
0,from scratch,phi,25,0.00101677,0.000168135,0.00378584,0.000118889
1,clusterizer,phi,3,-0.00144737,0.000479697,0.00467551,0.000339197
1,clusterizer,phi,5,-0.00142222,0.000469365,0.00445278,0.000331891
1,clusterizer,phi,7,-0.00075,0.000374771,0.00389474,0.000265003
1,clusterizer,phi,9,-0.0010619,0.000413145,0.00423348,0.000292138
1,clusterizer,phi,11,-0.000616505,0.00038403,0.00389747,0.00027155
1,clusterizer,phi,13.5,-0.000177852,0.000362201,0.00442122,0.000256115
1,clusterizer,phi,17.5,1.80723e-05,0.000267609,0.0042228,0.000189228
1,clusterizer,phi,25,-0.000348126,0.00017401,0.00391812,0.000123044
