series,variant,residual,E,mu,dmu,sigma,dsigma
0,b(E) corr, scratch,phi,3,2.63158e-05,0.000405186,0.00394926,0.00028651
0,b(E) corr, scratch,phi,5,0.0006,0.000334461,0.00317298,0.0002365
0,b(E) corr, scratch,phi,7,0.00115741,0.000325569,0.00338341,0.000230212
0,b(E) corr, scratch,phi,9,0.000785714,0.000347251,0.00355826,0.000245543
0,b(E) corr, scratch,phi,11,0.00126699,0.000303685,0.00308206,0.000214737
0,b(E) corr, scratch,phi,13.5,0.0011443,0.000285227,0.00348164,0.000201686
0,b(E) corr, scratch,phi,17.5,0.0016004,0.000220719,0.00348288,0.000156072
0,b(E) corr, scratch,phi,25,0.00190237,0.000128158,0.0028857,9.06216e-05
1,CorrectPosition, cluster,phi,3,-0.000910526,0.000415888,0.00405357,0.000294077
1,CorrectPosition, cluster,phi,5,-0.00102222,0.000333047,0.00315956,0.0002355
1,CorrectPosition, cluster,phi,7,0.000111111,0.000321507,0.00334119,0.000227339
1,CorrectPosition, cluster,phi,9,-0.000680952,0.000337197,0.00345524,0.000238434
1,CorrectPosition, cluster,phi,11,-0.00018932,0.000302386,0.00306888,0.000213819
1,CorrectPosition, cluster,phi,13.5,0.00054698,0.000287313,0.00350711,0.000203161
1,CorrectPosition, cluster,phi,17.5,0.000443775,0.000227651,0.00359228,0.000160974
1,CorrectPosition, cluster,phi,25,0.000655819,0.000125347,0.00282239,8.86334e-05
2,b(E) corr, scratch,eta,3,0.0001,0.000478548,0.00466431,0.000338385
2,b(E) corr, scratch,eta,5,0.000755556,0.00035679,0.00338481,0.000252289
2,b(E) corr, scratch,eta,7,2.77778e-05,0.000368388,0.0038284,0.00026049
2,b(E) corr, scratch,eta,9,-0.000138095,0.000336751,0.00345067,0.000238119
2,b(E) corr, scratch,eta,11,-2.42718e-05,0.000320195,0.00324963,0.000226412
2,b(E) corr, scratch,eta,13.5,-0.000231544,0.000321256,0.00392143,0.000227162
2,b(E) corr, scratch,eta,17.5,-3.41365e-05,0.000200802,0.0031686,0.000141988
2,b(E) corr, scratch,eta,25,-6.01578e-05,0.00012887,0.00290172,9.11246e-05
3,CorrectPosition, cluster,eta,3,0.000184211,0.000532233,0.00518756,0.000376345
3,CorrectPosition, cluster,eta,5,0.000411111,0.000356819,0.00338508,0.000252309
3,CorrectPosition, cluster,eta,7,-0.000148148,0.000378457,0.00393304,0.000267609
3,CorrectPosition, cluster,eta,9,-0.000109524,0.000351349,0.00360025,0.000248441
3,CorrectPosition, cluster,eta,11,-0.000150485,0.000333424,0.00338388,0.000235766
3,CorrectPosition, cluster,eta,13.5,-8.38926e-05,0.000319917,0.00390508,0.000226215
3,CorrectPosition, cluster,eta,17.5,-6.62651e-05,0.000204273,0.00322338,0.000144443
3,CorrectPosition, cluster,eta,25,-0.000115385,0.000134412,0.00302651,9.50437e-05
