series,variant,residual,E,mu,dmu,sigma,dsigma
0,from scratch (corr),eta,3,0.0001,0.000478548,0.00466431,0.000338385
0,from scratch (corr),eta,5,0.000755556,0.00035679,0.00338481,0.000252289
0,from scratch (corr),eta,7,2.77778e-05,0.000368388,0.0038284,0.00026049
0,from scratch (corr),eta,9,-0.000138095,0.000336751,0.00345067,0.000238119
0,from scratch (corr),eta,11,-2.42718e-05,0.000320195,0.00324963,0.000226412
0,from scratch (corr),eta,13.5,-0.000231544,0.000321256,0.00392143,0.000227162
0,from scratch (corr),eta,17.5,-3.41365e-05,0.000200802,0.0031686,0.000141988
0,from scratch (corr),eta,25,-6.01578e-05,0.00012887,0.00290172,9.11246e-05
1,clusterizer (corr),eta,3,0.000184211,0.000532233,0.00518756,0.000376345
1,clusterizer (corr),eta,5,0.000411111,0.000356819,0.00338508,0.000252309
1,clusterizer (corr),eta,7,-0.000148148,0.000378457,0.00393304,0.000267609
1,clusterizer (corr),eta,9,-0.000109524,0.000351349,0.00360025,0.000248441
1,clusterizer (corr),eta,11,-0.000150485,0.000333424,0.00338388,0.000235766
1,clusterizer (corr),eta,13.5,-8.38926e-05,0.000319917,0.00390508,0.000226215
1,clusterizer (corr),eta,17.5,-6.62651e-05,0.000204273,0.00322338,0.000144443
1,clusterizer (corr),eta,25,-0.000115385,0.000134412,0.00302651,9.50437e-05
