series,variant,residual,E,mu,dmu,sigma,dsigma
0,from scratch (corr),phi,3,2.63158e-05,0.000405186,0.00394926,0.00028651
0,from scratch (corr),phi,5,0.0006,0.000334461,0.00317298,0.0002365
0,from scratch (corr),phi,7,0.00115741,0.000325569,0.00338341,0.000230212
0,from scratch (corr),phi,9,0.000785714,0.000347251,0.00355826,0.000245543
0,from scratch (corr),phi,11,0.00126699,0.000303685,0.00308206,0.000214737
0,from scratch (corr),phi,13.5,0.0011443,0.000285227,0.00348164,0.000201686
0,from scratch (corr),phi,17.5,0.0016004,0.000220719,0.00348288,0.000156072
0,from scratch (corr),phi,25,0.00190237,0.000128158,0.0028857,9.06216e-05
1,clusterizer (corr),phi,3,-0.000910526,0.000415888,0.00405357,0.000294077
1,clusterizer (corr),phi,5,-0.00102222,0.000333047,0.00315956,0.0002355
1,clusterizer (corr),phi,7,0.000111111,0.000321507,0.00334119,0.000227339
1,clusterizer (corr),phi,9,-0.000680952,0.000337197,0.00345524,0.000238434
1,clusterizer (corr),phi,11,-0.00018932,0.000302386,0.00306888,0.000213819
1,clusterizer (corr),phi,13.5,0.00054698,0.000287313,0.00350711,0.000203161
1,clusterizer (corr),phi,17.5,0.000443775,0.000227651,0.00359228,0.000160974
1,clusterizer (corr),phi,25,0.000655819,0.000125347,0.00282239,8.86334e-05
