series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, cluster,phi,3,0.000247368,0.000439332,0.00428208,0.000310654
0,no corr, cluster,phi,5,0.000111111,0.00044241,0.00419707,0.000312831
0,no corr, cluster,phi,7,0.00037963,0.000380581,0.00395511,0.000269111
0,no corr, cluster,phi,9,0.000271429,0.000415626,0.0042589,0.000293892
0,no corr, cluster,phi,11,0.000791262,0.000375674,0.00381268,0.000265642
0,no corr, cluster,phi,13.5,0.000942953,0.000349816,0.00427005,0.000247357
0,no corr, cluster,phi,17.5,0.00131124,0.000255837,0.00403704,0.000180904
0,no corr, cluster,phi,25,0.00101677,0.000168135,0.00378584,0.000118889
1,CorrectPosition, cluster,phi,3,2.63158e-05,0.000405186,0.00394926,0.00028651
1,CorrectPosition, cluster,phi,5,0.0006,0.000334461,0.00317298,0.0002365
1,CorrectPosition, cluster,phi,7,0.00115741,0.000325569,0.00338341,0.000230212
1,CorrectPosition, cluster,phi,9,0.000785714,0.000347251,0.00355826,0.000245543
1,CorrectPosition, cluster,phi,11,0.00126699,0.000303685,0.00308206,0.000214737
1,CorrectPosition, cluster,phi,13.5,0.0011443,0.000285227,0.00348164,0.000201686
1,CorrectPosition, cluster,phi,17.5,0.0016004,0.000220719,0.00348288,0.000156072
1,CorrectPosition, cluster,phi,25,0.00190237,0.000128158,0.0028857,9.06216e-05
2,no corr, cluster,eta,3,-0.000142105,0.000464094,0.00452343,0.000328164
2,no corr, cluster,eta,5,0.000977778,0.000437509,0.00415058,0.000309366
2,no corr, cluster,eta,7,5.55556e-05,0.000395953,0.00411486,0.000279981
2,no corr, cluster,eta,9,-0.000614286,0.000394363,0.00404101,0.000278856
2,no corr, cluster,eta,11,0.00034466,0.000378705,0.00384343,0.000267785
2,no corr, cluster,eta,13.5,-0.00040604,0.000347874,0.00424634,0.000245984
2,no corr, cluster,eta,17.5,-0.000218876,0.000245615,0.00387574,0.000173676
2,no corr, cluster,eta,25,-0.000154832,0.000155938,0.00351121,0.000110265
3,CorrectPosition, cluster,eta,3,0.0001,0.000478548,0.00466431,0.000338385
3,CorrectPosition, cluster,eta,5,0.000755556,0.00035679,0.00338481,0.000252289
3,CorrectPosition, cluster,eta,7,2.77778e-05,0.000368388,0.0038284,0.00026049
3,CorrectPosition, cluster,eta,9,-0.000138095,0.000336751,0.00345067,0.000238119
3,CorrectPosition, cluster,eta,11,-2.42718e-05,0.000320195,0.00324963,0.000226412
3,CorrectPosition, cluster,eta,13.5,-0.000231544,0.000321256,0.00392143,0.000227162
3,CorrectPosition, cluster,eta,17.5,-3.41365e-05,0.000200802,0.0031686,0.000141988
3,CorrectPosition, cluster,eta,25,-6.01578e-05,0.00012887,0.00290172,9.11246e-05
