series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, scratch,eta,3,2.76276e-05,1.8712e-05,0.00434843,1.32314e-05
0,no corr, scratch,eta,5,1.11425e-05,1.75178e-05,0.00414055,1.2387e-05
0,no corr, scratch,eta,7,-4.18476e-06,1.64844e-05,0.00404117,1.16562e-05
0,no corr, scratch,eta,9,-1.28148e-05,1.59609e-05,0.00398667,1.1286e-05
0,no corr, scratch,eta,11,-2.8501e-05,1.56774e-05,0.00392614,1.10856e-05
0,no corr, scratch,eta,13.5,1.0184e-05,1.27737e-05,0.00390344,9.03235e-06
0,no corr, scratch,eta,17.5,-5.71556e-06,9.7857e-06,0.00385391,6.91953e-06
0,no corr, scratch,eta,25,2.01401e-06,6.63532e-06,0.00371256,4.69188e-06
1,b(E) corr, scratch,eta,3,1.14991e-05,1.76016e-05,0.0040904,1.24462e-05
1,b(E) corr, scratch,eta,5,1.83471e-06,1.57375e-05,0.00371974,1.11281e-05
1,b(E) corr, scratch,eta,7,-6.71392e-06,1.43068e-05,0.00350733,1.01164e-05
1,b(E) corr, scratch,eta,9,-2.23036e-05,1.36863e-05,0.00341855,9.6777e-06
1,b(E) corr, scratch,eta,11,-1.27159e-05,1.32161e-05,0.00330975,9.34517e-06
1,b(E) corr, scratch,eta,13.5,1.71339e-06,1.0703e-05,0.00327069,7.56819e-06
1,b(E) corr, scratch,eta,17.5,-6.35062e-07,8.13146e-06,0.00320242,5.74981e-06
1,b(E) corr, scratch,eta,25,1.14915e-05,5.39059e-06,0.00301612,3.81172e-06
