series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, scratch,phi,3,0.000247368,0.000439332,0.00428208,0.000310654
0,no corr, scratch,phi,5,0.000111111,0.00044241,0.00419707,0.000312831
0,no corr, scratch,phi,7,0.00037963,0.000380581,0.00395511,0.000269111
0,no corr, scratch,phi,9,0.000271429,0.000415626,0.0042589,0.000293892
0,no corr, scratch,phi,11,0.000791262,0.000375674,0.00381268,0.000265642
0,no corr, scratch,phi,13.5,0.000942953,0.000349816,0.00427005,0.000247357
0,no corr, scratch,phi,17.5,0.00131124,0.000255837,0.00403704,0.000180904
0,no corr, scratch,phi,25,0.00101677,0.000168135,0.00378584,0.000118889
1,b(E) corr, scratch,phi,3,2.63158e-05,0.000405186,0.00394926,0.00028651
1,b(E) corr, scratch,phi,5,0.0006,0.000334461,0.00317298,0.0002365
1,b(E) corr, scratch,phi,7,0.00115741,0.000325569,0.00338341,0.000230212
1,b(E) corr, scratch,phi,9,0.000785714,0.000347251,0.00355826,0.000245543
1,b(E) corr, scratch,phi,11,0.00126699,0.000303685,0.00308206,0.000214737
1,b(E) corr, scratch,phi,13.5,0.0011443,0.000285227,0.00348164,0.000201686
1,b(E) corr, scratch,phi,17.5,0.0016004,0.000220719,0.00348288,0.000156072
1,b(E) corr, scratch,phi,25,0.00190237,0.000128158,0.0028857,9.06216e-05
