series,variant,residual,E,mu,dmu,sigma,dsigma
0,Constant-b (Production) Uncorr,eta,3,2.22313e-05,1.86957e-05,0.00434361,1.32199e-05
0,Constant-b (Production) Uncorr,eta,5,1.73209e-05,1.74853e-05,0.00413678,1.2364e-05
0,Constant-b (Production) Uncorr,eta,7,-9.65706e-06,1.65049e-05,0.00405011,1.16708e-05
0,Constant-b (Production) Uncorr,eta,9,-1.72165e-05,1.61355e-05,0.004031,1.14095e-05
0,Constant-b (Production) Uncorr,eta,11,-3.42238e-05,1.59451e-05,0.0039914,1.12749e-05
0,Constant-b (Production) Uncorr,eta,13.5,3.26867e-06,1.29906e-05,0.0039682,9.18575e-06
0,Constant-b (Production) Uncorr,eta,17.5,-9.20443e-06,9.9729e-06,0.00392676,7.0519e-06
0,Constant-b (Production) Uncorr,eta,25,-2.49616e-05,6.77927e-06,0.00379216,4.79367e-06
1,Constant-b (Production) CP(EA E-only),eta,3,-3.16796e-06,1.73232e-05,0.00402473,1.22493e-05
1,Constant-b (Production) CP(EA E-only),eta,5,4.63616e-06,1.53417e-05,0.00362963,1.08482e-05
1,Constant-b (Production) CP(EA E-only),eta,7,-1.89737e-05,1.40121e-05,0.00343838,9.90802e-06
1,Constant-b (Production) CP(EA E-only),eta,9,-3.231e-05,1.34809e-05,0.00336783,9.53244e-06
1,Constant-b (Production) CP(EA E-only),eta,11,-2.33399e-05,1.31404e-05,0.00328933,9.29166e-06
1,Constant-b (Production) CP(EA E-only),eta,13.5,-1.19494e-05,1.06459e-05,0.00325198,7.52781e-06
1,Constant-b (Production) CP(EA E-only),eta,17.5,-1.03268e-05,8.10757e-06,0.0031923,5.73292e-06
1,Constant-b (Production) CP(EA E-only),eta,25,-2.42361e-05,5.37951e-06,0.00300917,3.80389e-06
