series,variant,residual,E,mu,dmu,sigma,dsigma
0,Constant-b (Production) Uncorr,phi,3,-0.00176716,1.87193e-05,0.00434907,1.32365e-05
0,Constant-b (Production) Uncorr,phi,5,-0.00130105,1.77108e-05,0.00419013,1.25234e-05
0,Constant-b (Production) Uncorr,phi,7,-0.00105994,1.675e-05,0.00411025,1.18441e-05
0,Constant-b (Production) Uncorr,phi,9,-0.000875863,1.67631e-05,0.00418779,1.18533e-05
0,Constant-b (Production) Uncorr,phi,11,-0.00066685,1.7214e-05,0.00430904,1.21721e-05
0,Constant-b (Production) Uncorr,phi,13.5,-0.000466681,1.44855e-05,0.00442485,1.02428e-05
0,Constant-b (Production) Uncorr,phi,17.5,-0.000189797,1.11928e-05,0.00440708,7.91448e-06
0,Constant-b (Production) Uncorr,phi,25,-3.12351e-05,7.29636e-06,0.0040814,5.1593e-06
1,Constant-b (Production) Corr,phi,3,-0.00112035,1.66817e-05,0.00387569,1.17958e-05
1,Constant-b (Production) Corr,phi,5,-0.000638513,1.44916e-05,0.00342851,1.02471e-05
1,Constant-b (Production) Corr,phi,7,-0.000397667,1.31684e-05,0.00323135,9.31144e-06
1,Constant-b (Production) Corr,phi,9,-0.000222293,1.32452e-05,0.00330895,9.36579e-06
1,Constant-b (Production) Corr,phi,11,-4.8156e-05,1.38401e-05,0.00346449,9.78646e-06
1,Constant-b (Production) Corr,phi,13.5,0.000167538,1.18443e-05,0.00361803,8.37515e-06
1,Constant-b (Production) Corr,phi,17.5,0.000400557,8.9356e-06,0.00351833,6.31842e-06
1,Constant-b (Production) Corr,phi,25,0.000597251,5.4138e-06,0.00302835,3.82814e-06
2,Variable-b (Benchmark) Uncorr,phi,3,-0.00185279,1.83359e-05,0.00426001,1.29654e-05
2,Variable-b (Benchmark) Uncorr,phi,5,-0.00138596,1.71971e-05,0.00406855,1.21602e-05
2,Variable-b (Benchmark) Uncorr,phi,7,-0.00115764,1.62804e-05,0.00399501,1.1512e-05
2,Variable-b (Benchmark) Uncorr,phi,9,-0.000948783,1.63457e-05,0.00408351,1.15581e-05
2,Variable-b (Benchmark) Uncorr,phi,11,-0.000750634,1.68018e-05,0.00420586,1.18807e-05
2,Variable-b (Benchmark) Uncorr,phi,13.5,-0.000537917,1.40875e-05,0.00430326,9.96135e-06
2,Variable-b (Benchmark) Uncorr,phi,17.5,-0.0002787,1.0851e-05,0.00427252,7.67282e-06
2,Variable-b (Benchmark) Uncorr,phi,25,-0.00010754,7.07973e-06,0.00396023,5.00612e-06
3,Variable-b (Benchmark) Corr,phi,3,-0.00141278,1.60963e-05,0.00373968,1.13818e-05
3,Variable-b (Benchmark) Corr,phi,5,-0.000902087,1.4033e-05,0.00332002,9.92284e-06
3,Variable-b (Benchmark) Corr,phi,7,-0.000655626,1.28399e-05,0.00315075,9.07919e-06
3,Variable-b (Benchmark) Corr,phi,9,-0.0004747,1.30557e-05,0.00326161,9.23179e-06
3,Variable-b (Benchmark) Corr,phi,11,-0.000287348,1.37038e-05,0.00343036,9.69004e-06
3,Variable-b (Benchmark) Corr,phi,13.5,-5.85575e-05,1.16823e-05,0.00356855,8.26061e-06
3,Variable-b (Benchmark) Corr,phi,17.5,0.000176761,8.82344e-06,0.00347417,6.23912e-06
3,Variable-b (Benchmark) Corr,phi,25,0.000383244,5.33247e-06,0.00298286,3.77063e-06
