series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, cluster,phi,3,-0.00185279,1.83359e-05,0.00426001,1.29654e-05
0,no corr, cluster,phi,5,-0.00138596,1.71971e-05,0.00406855,1.21602e-05
0,no corr, cluster,phi,7,-0.00115764,1.62804e-05,0.00399501,1.1512e-05
0,no corr, cluster,phi,9,-0.000948783,1.63457e-05,0.00408351,1.15581e-05
0,no corr, cluster,phi,11,-0.000750634,1.68018e-05,0.00420586,1.18807e-05
0,no corr, cluster,phi,13.5,-0.000537917,1.40875e-05,0.00430326,9.96135e-06
0,no corr, cluster,phi,17.5,-0.0002787,1.0851e-05,0.00427252,7.67282e-06
0,no corr, cluster,phi,25,-0.00010754,7.07973e-06,0.00396023,5.00612e-06
1,CorrectPosition, cluster,phi,3,-0.00141278,1.60963e-05,0.00373968,1.13818e-05
1,CorrectPosition, cluster,phi,5,-0.000902087,1.4033e-05,0.00332002,9.92284e-06
1,CorrectPosition, cluster,phi,7,-0.000655626,1.28399e-05,0.00315075,9.07919e-06
1,CorrectPosition, cluster,phi,9,-0.0004747,1.30557e-05,0.00326161,9.23179e-06
1,CorrectPosition, cluster,phi,11,-0.000287348,1.37038e-05,0.00343036,9.69004e-06
1,CorrectPosition, cluster,phi,13.5,-5.85575e-05,1.16823e-05,0.00356855,8.26061e-06
1,CorrectPosition, cluster,phi,17.5,0.000176761,8.82344e-06,0.00347417,6.23912e-06
1,CorrectPosition, cluster,phi,25,0.000383244,5.33247e-06,0.00298286,3.77063e-06
2,no corr, cluster,eta,3,2.82523e-05,1.8546e-05,0.00430882,1.3114e-05
2,no corr, cluster,eta,5,1.64097e-05,1.73213e-05,0.00409797,1.2248e-05
2,no corr, cluster,eta,7,1.30366e-06,1.63653e-05,0.00401583,1.1572e-05
2,no corr, cluster,eta,9,-1.10477e-05,1.59064e-05,0.00397376,1.12475e-05
2,no corr, cluster,eta,11,-3.26758e-05,1.56785e-05,0.00392466,1.10863e-05
2,no corr, cluster,eta,13.5,9.88104e-06,1.27974e-05,0.00390919,9.04914e-06
2,no corr, cluster,eta,17.5,-9.03028e-07,9.80412e-06,0.00386031,6.93256e-06
2,no corr, cluster,eta,25,-8.20547e-06,6.66384e-06,0.00372759,4.71205e-06
3,CorrectPosition, cluster,eta,3,1.02634e-05,1.70229e-05,0.00395495,1.2037e-05
3,CorrectPosition, cluster,eta,5,1.29795e-05,1.50667e-05,0.00356456,1.06537e-05
3,CorrectPosition, cluster,eta,7,-9.21697e-07,1.37154e-05,0.00336559,9.69827e-06
3,CorrectPosition, cluster,eta,9,-2.31289e-05,1.31094e-05,0.00327501,9.26973e-06
3,CorrectPosition, cluster,eta,11,-2.00683e-05,1.27329e-05,0.00318732,9.0035e-06
3,CorrectPosition, cluster,eta,13.5,2.86143e-06,1.02969e-05,0.00314537,7.28102e-06
3,CorrectPosition, cluster,eta,17.5,6.28249e-06,7.81347e-06,0.0030765,5.52496e-06
3,CorrectPosition, cluster,eta,25,2.95621e-07,5.16959e-06,0.00289174,3.65546e-06
