series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, scratch,eta,3,2.82523e-05,1.8546e-05,0.00430882,1.3114e-05
0,no corr, scratch,eta,5,1.64097e-05,1.73213e-05,0.00409797,1.2248e-05
0,no corr, scratch,eta,7,1.30366e-06,1.63653e-05,0.00401583,1.1572e-05
0,no corr, scratch,eta,9,-1.10477e-05,1.59064e-05,0.00397376,1.12475e-05
0,no corr, scratch,eta,11,-3.26758e-05,1.56785e-05,0.00392466,1.10863e-05
0,no corr, scratch,eta,13.5,9.88104e-06,1.27974e-05,0.00390919,9.04914e-06
0,no corr, scratch,eta,17.5,-9.03028e-07,9.80412e-06,0.00386031,6.93256e-06
0,no corr, scratch,eta,25,-8.20547e-06,6.66384e-06,0.00372759,4.71205e-06
1,b(E) corr, scratch,eta,3,1.02634e-05,1.70229e-05,0.00395495,1.2037e-05
1,b(E) corr, scratch,eta,5,1.29795e-05,1.50667e-05,0.00356456,1.06537e-05
1,b(E) corr, scratch,eta,7,-9.21697e-07,1.37154e-05,0.00336559,9.69827e-06
1,b(E) corr, scratch,eta,9,-2.31289e-05,1.31094e-05,0.00327501,9.26973e-06
1,b(E) corr, scratch,eta,11,-2.00683e-05,1.27329e-05,0.00318732,9.0035e-06
1,b(E) corr, scratch,eta,13.5,2.86143e-06,1.02969e-05,0.00314537,7.28102e-06
1,b(E) corr, scratch,eta,17.5,6.28249e-06,7.81347e-06,0.0030765,5.52496e-06
1,b(E) corr, scratch,eta,25,2.95621e-07,5.16959e-06,0.00289174,3.65546e-06
