series,variant,residual,E,mu,dmu,sigma,dsigma
0,no corr, scratch,phi,3,-0.00185279,1.83359e-05,0.00426001,1.29654e-05
0,no corr, scratch,phi,5,-0.00138596,1.71971e-05,0.00406855,1.21602e-05
0,no corr, scratch,phi,7,-0.00115764,1.62804e-05,0.00399501,1.1512e-05
0,no corr, scratch,phi,9,-0.000948783,1.63457e-05,0.00408351,1.15581e-05
0,no corr, scratch,phi,11,-0.000750634,1.68018e-05,0.00420586,1.18807e-05
0,no corr, scratch,phi,13.5,-0.000537917,1.40875e-05,0.00430326,9.96135e-06
0,no corr, scratch,phi,17.5,-0.0002787,1.0851e-05,0.00427252,7.67282e-06
0,no corr, scratch,phi,25,-0.00010754,7.07973e-06,0.00396023,5.00612e-06
1,b(E) corr, scratch,phi,3,-0.00141278,1.60963e-05,0.00373968,1.13818e-05
1,b(E) corr, scratch,phi,5,-0.000902087,1.4033e-05,0.00332002,9.92284e-06
1,b(E) corr, scratch,phi,7,-0.000655626,1.28399e-05,0.00315075,9.07919e-06
1,b(E) corr, scratch,phi,9,-0.0004747,1.30557e-05,0.00326161,9.23179e-06
1,b(E) corr, scratch,phi,11,-0.000287348,1.37038e-05,0.00343036,9.69004e-06
1,b(E) corr, scratch,phi,13.5,-5.85575e-05,1.16823e-05,0.00356855,8.26061e-06
1,b(E) corr, scratch,phi,17.5,0.000176761,8.82344e-06,0.00347417,6.23912e-06
1,b(E) corr, scratch,phi,25,0.000383244,5.33247e-06,0.00298286,3.77063e-06
